episode,total_reward,loss,avg_td,epsilon,eval_reward,eval_order,time_s
1,3412.2037491827505,0.0,0.0,1.0,,,0.0
2,4229.369468220347,0.0,0.0,1.0,,,0.01
3,4863.058726528385,0.0,0.0,1.0,,,0.01
4,5937.588057912424,0.0,0.0,1.0,,,0.01
5,4738.294986282917,0.0,0.0,1.0,,,0.01
6,3388.3294955622887,0.0,0.0,1.0,,,0.01
7,4836.981356732689,0.0,0.0,1.0,,,0.01
8,3848.334561926647,20455.0,245.40663146972656,0.96,,,0.98
9,3418.717688808327,18589.384765625,224.19268798828125,0.9216,,,1.14
10,4303.87091864361,19346.94921875,260.6168518066406,0.884736,,,1.49
11,4538.948409637349,18371.98046875,205.03343200683594,0.84934656,,,2.15
12,2195.9670299956974,18079.0625,199.00308227539062,0.8153726976,,,2.36
13,3407.7421723552748,17322.9140625,182.6754913330078,0.782757789696,,,2.64
14,3539.9019800601286,17168.599609375,220.09555053710938,0.7514474781081599,,,2.85
15,4648.922077683586,17433.255859375,231.80535888671875,0.7213895789838335,,,3.41
16,5278.369776447123,16851.05078125,178.82025146484375,0.6925339958244802,,,3.8
17,4234.309365272933,16639.3671875,198.7698211669922,0.6648326359915009,,,4.5
18,3494.7214125754126,16054.4404296875,157.75856018066406,0.6382393305518408,,,4.79
19,3282.7821874747574,15544.66796875,166.43295288085938,0.6127097573297672,,,5.89
20,3450.3781661741446,15429.0048828125,188.31385803222656,0.5882013670365764,,,6.54
21,3241.3745164838174,15460.353515625,207.91067504882812,0.5646733123551133,,,7.15
22,3053.2492224883727,15394.783203125,198.1120147705078,0.5420863798609088,,,8.2
23,2776.6547882794544,15070.2275390625,157.59866333007812,0.5204029246664724,,,10.57
24,3327.8141062684103,14918.982421875,175.81024169921875,0.4995868076798135,,,11.4
25,2753.2807638795807,14721.39453125,161.74278259277344,0.47960333537262095,,,14.27
26,3716.745390506048,14418.5703125,157.5264892578125,0.4604192019577161,,,15.71
27,2251.8358356933113,14118.6015625,137.8673858642578,0.4420024338794074,,,18.13
28,4315.822166158687,14009.5390625,184.34024047851562,0.42432233652423107,,,20.07
29,3076.280106941886,13761.2314453125,161.03762817382812,0.4073494430632618,,,21.81
30,4232.165347930003,13327.0439453125,122.7129898071289,0.3910554653407313,,,22.38
31,2741.63722773582,12954.4208984375,130.8829345703125,0.3754132467271021,,,26.1
32,2523.3597991778893,12726.455078125,151.289794921875,0.360396716858018,,,27.42
33,4019.4193736997468,12600.7509765625,200.90625,0.3459808481836973,,,27.97
34,3176.1891985973925,12359.8603515625,163.73440551757812,0.33214161425634936,,,29.02
35,3361.532261899586,12037.009765625,128.29861450195312,0.3188559496860954,,,30.0
36,3760.977884656558,11914.595703125,186.26983642578125,0.3061017116986515,,,31.96
37,3560.1738280588643,11861.2099609375,211.60968017578125,0.29385764323070546,,,39.39
38,3823.776397154249,11638.6376953125,155.37945556640625,0.2821033375014772,,,46.86
39,5168.195604657808,11540.2158203125,189.1806182861328,0.2708192040014181,,,50.83
40,4513.7910720864675,11374.7841796875,170.57986450195312,0.2599864358413614,,,58.98
41,2935.286125315767,11244.1875,145.45053100585938,0.2495869784077069,,,67.38
42,4310.342275395423,11199.0888671875,170.30592346191406,0.23960349927139862,,,73.12
43,3317.42299829663,11140.8388671875,160.07456970214844,0.23001935930054268,,,76.78
44,3101.748510154798,10920.017578125,90.41018676757812,0.22081858492852097,,,88.11
45,4529.03922346775,10742.0517578125,112.75177001953125,0.21198584153138011,,,114.32
46,1405.2990527282245,10575.875,119.93255615234375,0.2035064078701249,,,161.65
47,3051.928131517972,10381.44140625,103.9379653930664,0.1953661515553199,,,169.66
48,2480.0393632531136,10179.0361328125,95.06700897216797,0.1875515054931071,,,174.69
49,3785.754522652549,10049.7392578125,127.79579162597656,0.1800494452733828,,,180.6
50,3273.128028823726,9877.1064453125,108.2784423828125,0.17284746746244747,4719.686336962222,"0,7,4,1,5,3,2,6",206.49
51,6359.895174043757,9720.6513671875,112.64342498779297,0.16593356876394957,,,208.88
52,4694.171837710104,9593.6767578125,129.0299835205078,0.15929622601339158,,,216.97
53,3533.646682334548,9449.548828125,114.69245147705078,0.1529243769728559,,,241.6
54,2167.2602979455087,9293.845703125,107.38017272949219,0.14680740189394167,,,248.79
55,4432.577791001353,9174.7626953125,130.7125244140625,0.140935105818184,,,264.17
56,2773.9176486012097,9039.7197265625,113.39971160888672,0.13529770158545662,,,277.87
57,2463.0156536657687,8894.0791015625,97.43710327148438,0.12988579352203836,,,289.7
58,2376.0925932069617,8759.5087890625,100.30262756347656,0.12469036178115682,,,337.49
59,2105.167356167118,8649.2666015625,105.01405334472656,0.11970274730991054,,,420.78
60,4386.905740569015,8527.865234375,104.14271545410156,0.11491463741751412,,,441.99
61,2869.3771501958145,8388.7392578125,51.91474914550781,0.11031805192081355,,,452.65
62,2946.247809801233,8301.1513671875,105.97688293457031,0.105905329843981,,,496.42
63,4300.987984582722,8202.0166015625,68.87998962402344,0.10166911665022176,,,511.77
64,3436.297022751417,8118.94287109375,100.49132537841797,0.09760235198421288,,,561.28
65,2737.528909505804,8031.3798828125,90.60575866699219,0.09369825790484436,,,672.43
66,790.4320963838373,7935.89013671875,70.49640655517578,0.08995032758865058,,,722.6
67,3114.1417822197764,7828.79052734375,64.89834594726562,0.08635231448510455,,,770.52
68,3915.860517636508,7748.91455078125,81.66061401367188,0.08289822190570037,,,797.47
69,4219.089856914349,7657.67431640625,76.24478912353516,0.07958229302947235,,,824.68
70,1589.8411168401785,7579.1748046875,85.04881286621094,0.07639900130829345,,,909.44
71,4548.85916667813,7480.373046875,75.92040252685547,0.07334304125596171,,,917.49
72,5326.99740750855,7383.298828125,76.90081787109375,0.07040931960572323,,,964.16
73,3049.2508889639003,7303.12255859375,83.56403350830078,0.0675929468214943,,,1033.35
74,2905.027967471662,7219.71923828125,82.0582504272461,0.06488922894863453,,,1065.26
75,4765.627612811782,7127.58056640625,64.87481689453125,0.06229365979068914,,,1095.52
76,4136.112665064876,7056.80419921875,91.5398941040039,0.059801913399061574,,,1130.74
77,2959.972640664688,6992.14404296875,95.39994049072266,0.05740983686309911,,,1186.96
78,3564.5987289276345,6915.1484375,75.75013732910156,0.05511344338857514,,,1267.0
79,2365.153361496159,6835.9658203125,63.71556091308594,0.052908905653032134,,,1305.99
80,3575.476516945591,6752.537109375,58.36772918701172,0.050792549426910846,,,1410.56
81,4837.4345805575795,6683.78955078125,70.52577209472656,0.05,,,1417.09
82,4125.625020629893,6620.5859375,91.59347534179688,0.05,,,1455.18
83,3028.2830490581186,6544.48486328125,61.11979675292969,0.05,,,1554.07
84,2695.559362636126,6481.57958984375,82.03170776367188,0.05,,,1609.14
85,1574.2804794016834,6415.40234375,69.49958801269531,0.05,,,1639.91
86,4331.010842448631,6346.7333984375,63.962738037109375,0.05,,,1669.25
87,4098.61211168298,6278.5185546875,60.062644958496094,0.05,,,1679.28
88,584.5267769618051,6214.03369140625,62.22233963012695,0.05,,,1819.77
89,3861.778048559184,6149.38623046875,62.16234588623047,0.05,,,1833.42
90,4493.192903614506,6086.89697265625,57.560516357421875,0.05,,,1862.69
91,3954.416068139293,6022.88134765625,57.24641418457031,0.05,,,1874.38
92,4331.454247592189,5973.50830078125,66.81312561035156,0.05,,,1877.77
93,3491.207631160055,5924.2490234375,71.73182678222656,0.05,,,1903.88
94,3888.356772171931,5864.18505859375,52.74189758300781,0.05,,,1935.59
95,2535.4947458606434,5805.140625,52.26620864868164,0.05,,,1944.75
96,1582.1515831888742,5746.93310546875,45.86302947998047,0.05,,,2048.51
97,2729.6048052383094,5685.39111328125,33.23656463623047,0.05,,,2051.94
98,2636.679516082543,5632.64111328125,58.749446868896484,0.05,,,2095.44
99,3902.1054533088923,5578.40380859375,45.62432098388672,0.05,,,2103.07
100,4443.917383047733,5537.76513671875,60.17401123046875,0.05,3863.7793686059235,"2,3,0,1,4,5,6,7",2148.75
101,1848.310931933777,5503.10302734375,89.0736083984375,0.05,,,2257.59
102,1162.7086925663677,5471.02685546875,67.67922973632812,0.05,,,2338.22
103,5210.167424130416,5431.47216796875,63.31501388549805,0.05,,,2355.39
104,3952.205934079633,5387.5888671875,57.84439468383789,0.05,,,2358.39
105,2938.2415176758605,5345.18701171875,60.08038330078125,0.05,,,2407.91
106,1895.3894603307758,5297.83447265625,46.922019958496094,0.05,,,2455.67
107,-409.23191295909277,5252.796875,42.87386703491211,0.05,,,2665.09
108,3203.981462750189,5213.708984375,57.27403259277344,0.05,,,2670.59
109,5684.545314727874,5184.18994140625,73.1202621459961,0.05,,,2697.65
110,3430.8978691594243,5142.87939453125,58.95821762084961,0.05,,,2782.63
111,2135.920437509001,5102.328125,67.14436340332031,0.05,,,2802.81
112,1759.173643962373,5061.8134765625,56.4269905090332,0.05,,,2915.02
113,3228.1708998792083,5024.8994140625,53.63722610473633,0.05,,,2989.22
114,4361.169007288856,4988.1044921875,47.63966369628906,0.05,,,2992.38
115,2458.23871196172,4943.998046875,26.60528564453125,0.05,,,3150.92
116,2931.932698010665,4909.90869140625,45.616722106933594,0.05,,,3266.7
117,4156.520858032947,4869.88427734375,36.49728775024414,0.05,,,3288.93
118,2841.9533297327202,4834.78564453125,41.24048614501953,0.05,,,3339.47
119,2236.9797867307807,4795.36767578125,32.76048278808594,0.05,,,3430.46
120,3988.7371542906726,4757.60595703125,40.80384063720703,0.05,,,3443.03
121,4962.145326915914,4728.205078125,62.61674880981445,0.05,,,3476.11
122,4294.27185694819,4697.17626953125,57.872684478759766,0.05,,,3495.77
123,4441.899424792719,4665.8564453125,60.274620056152344,0.05,,,3500.11
124,5248.925207416581,4632.02978515625,48.645751953125,0.05,,,3505.83
125,4190.84063635137,4595.916015625,39.43062973022461,0.05,,,3509.29
